index,scenario,location,fossil_depletion,human_toxicity,land_occupation,marine_toxicity,metal_depletion,climate_change,tech_type
723,90,PRT_2,165.572918989841,1361.815653698376,15419.722311071491,18.8524945189496,40.04285279824925,624.2483144396995,chp_biofuel_extraction
724,90,PRT_1,2313909.1510746013,4326214.382019674,74806153.54108219,278712.47221947025,1846498.7399803083,106430436.5709915,hydro_reservoir
725,90,PRT_2,422520.7037282289,789968.4152773398,13659632.497974832,50893.00495886597,337171.3823282314,19434238.780374724,hydro_reservoir
726,90,PRT_1,2305954.029699091,3693998.109542897,12328874.56064534,272706.609629191,2680441.610834021,11033197.152940156,hydro_run_of_river
727,90,PRT_2,311768.50881537737,499434.1896439696,1666882.6818051606,36870.35037696944,362399.802083418,1491705.1162061049,hydro_run_of_river
728,91,PRT_1,25847.58698712959,406.01705516535736,44.54924208069759,54.36549618258204,184.5396560464733,47417.63972730879,ccgt
729,91,PRT_2,17997.40367404351,282.7054163313528,31.019169932505875,37.854124689658576,128.49302665627096,33016.40512391633,ccgt
730,91,PRT_1,6924.259472155149,56951.13063766607,644852.7870490096,788.4113207824723,1674.5921040227831,26106.064509868225,chp_biofuel_extraction
731,91,PRT_2,6394.740856770864,52595.90912104079,595538.985869544,728.1191736419936,1546.5310895819694,24109.65649136632,chp_biofuel_extraction
732,91,PRT_1,2313795.0572286486,4326001.065763488,74802465.01175743,278698.7295114405,1846407.6931288391,106425188.71680108,hydro_reservoir
733,91,PRT_2,422477.5325620468,789887.7000427167,13658236.821362171,50887.804952439765,337136.9317518457,19432253.081816982,hydro_reservoir
734,91,PRT_1,1923585.6188778789,3081467.1707076603,10284526.70624202,227486.97749369632,2235976.462859065,9203695.78070449,hydro_run_of_river
735,91,PRT_2,296390.4295687097,474799.4419716562,1584663.1719736615,35051.70880824962,344524.31845426257,1418126.2946091446,hydro_run_of_river
736,92,PRT_1,95470.06948428076,1499.6555186269766,164.54608467065097,200.80318138335025,681.6115482708191,175140.7340964127,ccgt
737,92,PRT_2,38908.72908768052,611.1830714516175,67.06058836526815,81.83713101492567,277.79008874682364,71378.42689322462,ccgt
738,92,PRT_1,35433.343584290895,291434.62741585734,3299889.389858951,4034.517962154721,8569.349202465928,133591.92519166428,chp_biofuel_extraction
739,92,PRT_2,18403.197322611504,151363.8966138544,1713880.470802928,2095.428278805477,4450.706829971884,69384.3231068862,chp_biofuel_extraction
740,92,PRT_1,2313427.5360243446,4325313.927498349,74790583.45295641,278654.4612464582,1846114.4113289253,106408284.23193613,hydro_reservoir
741,92,PRT_2,422399.6459952142,789742.0789471603,13655718.833793571,50878.423444274464,337074.77829718177,19428670.61562241,hydro_reservoir
742,92,PRT_1,1897794.9676388511,3040152.1159867835,10146635.967802268,224436.92490420828,2205997.4026257526,9080296.382382557,hydro_run_of_river
743,92,PRT_2,290942.77053748013,466072.6235253137,1555537.0471766472,34407.458053165705,338191.95806854893,1392061.1192676425,hydro_run_of_river
744,93,PRT_1,1394382.4763744385,21903.130343023124,2403.268147391031,2932.8190377747983,9955.237319270713,2558007.675521833,ccgt
745,93,PRT_2,614007.9488296193,9644.91189665238,1058.2646947083915,1291.449248813561,4383.72896252323,1126403.316557325,ccgt
746,93,PRT_1,564760.0038522485,4645077.338256847,52595813.8863014,64304.80867345068,136583.9404086475,2129276.228374977,chp_biofuel_extraction
747,93,PRT_2,279964.77196799347,2302673.7178771524,26072977.797134724,31877.40097370279,67707.86080843101,1055532.136956756,chp_biofuel_extraction
748,93,PRT_1,2306423.04755948,4312217.942843412,74564135.9974303,277810.76420858246,1840524.8318423785,106086106.1702236,hydro_reservoir
749,93,PRT_2,420720.29921396857,786602.2779769928,13601427.388034675,50676.14458950724,335734.6601191971,19351427.474508144,hydro_reservoir
750,93,PRT_1,1933032.181092072,3096599.988843441,10335033.125306807,228604.14631879207,2246957.1494261594,9248894.332793713,hydro_run_of_river
751,93,PRT_2,299403.0084823923,479625.4101690555,1600770.044466556,35407.98225134943,348026.1410284142,1432540.4488660654,hydro_run_of_river
752,94,PRT_1,104879.63310254549,1647.4620938628489,180.7638046347052,220.59441354839743,748.7914221416999,192402.6664332392,ccgt
753,94,PRT_2,44501.895895275695,699.0412191928045,76.70061171573995,93.60129642341316,317.7226781756981,81639.14363824809,ccgt
754,94,PRT_1,40419.55151410148,332445.5370068616,3764252.415721045,4602.258497506791,9775.234750495183,152391.0857948611,chp_biofuel_extraction
755,94,PRT_2,19488.43886245988,160289.86666998372,1814948.4672300983,2218.996253004103,4713.1662194410055,73475.93546803479,chp_biofuel_extraction
756,94,PRT_1,2313392.620062031,4325248.646656076,74789454.65806112,278650.2555868836,1846086.5484025064,106406678.23927622,hydro_reservoir
757,94,PRT_2,422379.8257837701,789705.0219677344,13655078.06802288,50876.03608168983,337058.9617749814,19427758.96627959,hydro_reservoir
758,94,PRT_1,1898438.966980176,3041183.763764129,10150079.13579004,224513.0855191704,2206745.98764072,9083377.697798075,hydro_run_of_river
759,94,PRT_2,290932.4772073992,466056.1342365551,1555482.0134796414,34406.240743925344,338179.993098776,1392011.869222463,hydro_run_of_river
