spores,techs,locs,carriers,unit,generated_district_heat
37,chp_methane_extraction,PRT_2,heat,twh,0.0022426983044621
37,chp_wte_back_pressure,PRT_1,heat,twh,0.0011685217862182
37,chp_wte_back_pressure,PRT_2,heat,twh,0.0012154589173018
38,chp_biofuel_extraction,PRT_1,heat,twh,0.0129451883746186
38,chp_biofuel_extraction,PRT_2,heat,twh,0.0040005066114551
38,chp_hydrogen,PRT_1,heat,twh,0.0009888410649237
38,chp_hydrogen,PRT_2,heat,twh,0.0010115442044308
38,chp_methane_extraction,PRT_1,heat,twh,0.0013006862962209
38,chp_methane_extraction,PRT_2,heat,twh,0.000728783405762
38,chp_wte_back_pressure,PRT_1,heat,twh,0.0005006529945108
38,chp_wte_back_pressure,PRT_2,heat,twh,0.0005284811935328
39,chp_biofuel_extraction,PRT_1,heat,twh,0.0270079710142888
39,chp_biofuel_extraction,PRT_2,heat,twh,0.0197576551643844
39,chp_hydrogen,PRT_1,heat,twh,0.0051039112084982
39,chp_hydrogen,PRT_2,heat,twh,0.0053168527984219
39,chp_methane_extraction,PRT_1,heat,twh,0.0045360402251704
39,chp_methane_extraction,PRT_2,heat,twh,0.0036463359155872
39,chp_wte_back_pressure,PRT_1,heat,twh,0.0025475828343366
39,chp_wte_back_pressure,PRT_2,heat,twh,0.0026671220056409
40,chp_biofuel_extraction,PRT_1,heat,twh,0.0486315832139117
40,chp_biofuel_extraction,PRT_2,heat,twh,0.0324687806228739
40,chp_hydrogen,PRT_1,heat,twh,0.0084250172201809
40,chp_hydrogen,PRT_2,heat,twh,0.009210266444088
40,chp_methane_extraction,PRT_1,heat,twh,0.0069069356272763
40,chp_methane_extraction,PRT_2,heat,twh,0.0046579750022628
40,chp_wte_back_pressure,PRT_1,heat,twh,0.0026990907360512
40,chp_wte_back_pressure,PRT_2,heat,twh,0.0028778637997033
41,chp_biofuel_extraction,PRT_1,heat,twh,0.026525098462629
41,chp_biofuel_extraction,PRT_2,heat,twh,0.0131183761439937
41,chp_hydrogen,PRT_1,heat,twh,0.0041916186712276
41,chp_hydrogen,PRT_2,heat,twh,0.0040412771970081
41,chp_methane_extraction,PRT_1,heat,twh,0.0042121136596198
41,chp_methane_extraction,PRT_2,heat,twh,0.0033600030758153
41,chp_wte_back_pressure,PRT_1,heat,twh,0.0012587048223435
41,chp_wte_back_pressure,PRT_2,heat,twh,0.0013425535513537
42,chp_biofuel_extraction,PRT_1,heat,twh,0.0300200632202427
42,chp_biofuel_extraction,PRT_2,heat,twh,0.0197231688866503
42,chp_hydrogen,PRT_1,heat,twh,0.0053238536436698
42,chp_hydrogen,PRT_2,heat,twh,0.0057040728157858
42,chp_methane_extraction,PRT_1,heat,twh,0.0046156925742707
42,chp_methane_extraction,PRT_2,heat,twh,0.0032681623438321
