spores,techs,exporting_region,unit,carriers,importing_region,transmission_capacity
41,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988365889043
42,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0010989258445
42,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0010989258445
42,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9990459307374997
42,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9990459307374997
43,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0044372839471998
43,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0044372839471998
43,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988481782051
43,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988481782051
44,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9996616165152
44,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9996616165152
44,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9995965248645997
44,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9995965248645997
45,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9987951115450997
45,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9987951115450997
45,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9987417057559
45,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9987417057559
46,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9997240925086
46,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9997240925086
46,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9995613940567
46,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9995613940567
47,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9993622158104003
47,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9993622158104003
47,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9988624730362003
47,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9988624730362003
48,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,2.9997247783984
48,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,2.9997247783984
48,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9998566593905998
48,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9998566593905998
49,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0002254123028
49,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0002254123028
49,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9989318145771997
49,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9989318145771997
50,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,3.0004880334199
50,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,3.0004880334199
50,ac_transmission,PRT_1,gw,electricity,PRT_2,3.9997308819021997
50,ac_transmission,PRT_2,gw,electricity,PRT_1,3.9997308819021997
51,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,9.8309837959432
51,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,9.8309837959432
51,ac_transmission,PRT_1,gw,electricity,PRT_2,5.2765764529379
51,ac_transmission,PRT_2,gw,electricity,PRT_1,5.2765764529379
52,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.447351856228001
52,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.447351856228001
52,ac_transmission,PRT_1,gw,electricity,PRT_2,4.764554197615699
52,ac_transmission,PRT_2,gw,electricity,PRT_1,4.764554197615699
53,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,10.1514195490658
53,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,10.1514195490658
53,ac_transmission,PRT_1,gw,electricity,PRT_2,4.724494113742701
53,ac_transmission,PRT_2,gw,electricity,PRT_1,4.724494113742701
54,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.4237841173121
54,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.4237841173121
54,ac_transmission,PRT_1,gw,electricity,PRT_2,4.8381377559304
54,ac_transmission,PRT_2,gw,electricity,PRT_1,4.8381377559304
55,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,9.9134769318848
55,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,9.9134769318848
55,ac_transmission,PRT_1,gw,electricity,PRT_2,4.703184134878599
55,ac_transmission,PRT_2,gw,electricity,PRT_1,4.703184134878599
56,ac_transmission,ESP-sink,gw,electricity,PRT-6_1,5.4299389910748
56,ac_transmission,PRT-6_1,gw,electricity,ESP-sink,5.4299389910748
