spores,techs,locs,carriers,unit,nameplate_capacity
3,existing_pv,PRT-12_1,electricity,gw,0.1
3,existing_pv,PRT-15_1,electricity,gw,0.2
3,existing_pv,PRT-3_1,electricity,gw,0.5
3,existing_pv,PRT-9_1,electricity,gw,0.1
3,existing_wind,PRT-10_1,electricity,gw,0.11
3,existing_wind,PRT-11_1,electricity,gw,0.43
3,existing_wind,PRT-12_1,electricity,gw,0.1
3,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
3,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
3,existing_wind,PRT-17_1,electricity,gw,0.08
3,existing_wind,PRT-18_1,electricity,gw,0.83
3,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
3,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
3,existing_wind,PRT-20_1,electricity,gw,0.82
3,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
3,existing_wind,PRT-4_1,electricity,gw,0.35
3,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
3,existing_wind,PRT-6_1,electricity,gw,0.67
3,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
3,existing_wind,PRT-9_1,electricity,gw,0.23
3,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
3,hydro_reservoir,PRT_2,electricity,gw,0.205
3,hydro_run_of_river,PRT_1,electricity,gw,1.4028
3,hydro_run_of_river,PRT_2,electricity,gw,0.2127
3,open_field_pv,PRT-10_1,electricity,gw,0.05748907288937299
3,open_field_pv,PRT-11_1,electricity,gw,3.964354596285
3,open_field_pv,PRT-12_1,electricity,gw,0.027752544733903945
3,open_field_pv,PRT-14_1,electricity,gw,0.0018509243545980327
3,open_field_pv,PRT-15_1,electricity,gw,0.07426793168882796
3,open_field_pv,PRT-17_1,electricity,gw,0.02800050307162076
3,open_field_pv,PRT-18_1,electricity,gw,0.0006926836330518396
3,open_field_pv,PRT-19_1,electricity,gw,0.028885076498144646
3,open_field_pv,PRT-20_1,electricity,gw,0.03379693032755044
3,open_field_pv,PRT-3_1,electricity,gw,0.035072711520732325
3,open_field_pv,PRT-4_1,electricity,gw,0.007515074294335771
3,open_field_pv,PRT-5_1,electricity,gw,0.037772358628159364
3,open_field_pv,PRT-6_1,electricity,gw,0.1059272193057
3,open_field_pv,PRT-7_1,electricity,gw,0.04152512742119569
3,open_field_pv,PRT-8_1,electricity,gw,0.026939613861460703
3,open_field_pv,PRT-9_1,electricity,gw,5.3941995232491
3,pumped_hydro,PRT_1,electricity,gw,3.126
3,pumped_hydro,PRT_2,electricity,gw,0.514
3,roof_mounted_pv,PRT-10_1,electricity,gw,0.00963999571175263
3,roof_mounted_pv,PRT-11_1,electricity,gw,0.010864631756136486
3,roof_mounted_pv,PRT-12_1,electricity,gw,0.00902873876815004
3,roof_mounted_pv,PRT-14_1,electricity,gw,0.008741320591867727
3,roof_mounted_pv,PRT-15_1,electricity,gw,0.009810786113379164
3,roof_mounted_pv,PRT-16_1,electricity,gw,0.00868310519166434
3,roof_mounted_pv,PRT-17_1,electricity,gw,0.008956679994399828
3,roof_mounted_pv,PRT-18_1,electricity,gw,0.008911687500294365
3,roof_mounted_pv,PRT-19_1,electricity,gw,0.009043501984448324
3,roof_mounted_pv,PRT-20_1,electricity,gw,0.00954679647960956
3,roof_mounted_pv,PRT-3_1,electricity,gw,0.009321475321515555
3,roof_mounted_pv,PRT-4_1,electricity,gw,0.008828715898773484
3,roof_mounted_pv,PRT-5_1,electricity,gw,0.009542075754672705
3,roof_mounted_pv,PRT-6_1,electricity,gw,0.009853067592530424
3,roof_mounted_pv,PRT-7_1,electricity,gw,0.009559195104459276
3,roof_mounted_pv,PRT-8_1,electricity,gw,0.00900148618936427
3,roof_mounted_pv,PRT-9_1,electricity,gw,0.0109427829394153
3,wind_offshore,PRT-11_1,electricity,gw,0.01068183928563157
3,wind_offshore,PRT-12_1,electricity,gw,0.006849889161231094
3,wind_offshore,PRT-15_1,electricity,gw,0.01090437947866222
3,wind_offshore,PRT-16_1,electricity,gw,0.006815088787961186
3,wind_offshore,PRT-17_1,electricity,gw,0.006840319923103549
3,wind_offshore,PRT-18_1,electricity,gw,0.010641584731579334
3,wind_offshore,PRT-1_1,electricity,gw,0.0007909919870034761
3,wind_offshore,PRT-20_1,electricity,gw,0.011789121032487368
3,wind_offshore,PRT-3_1,electricity,gw,0.0068832596984129725
3,wind_offshore,PRT-4_1,electricity,gw,0.010757668718719967
3,wind_offshore,PRT-7_1,electricity,gw,0.010604982155284137
3,wind_offshore,PRT-9_1,electricity,gw,0.006879868669630241
3,wind_onshore,PRT-10_1,electricity,gw,0.08747510494184609
3,wind_onshore,PRT-11_1,electricity,gw,0.01672150446814918
3,wind_onshore,PRT-12_1,electricity,gw,0.3466308739129
3,wind_onshore,PRT-14_1,electricity,gw,0.06037960433518735
3,wind_onshore,PRT-15_1,electricity,gw,0.03721581173530158
3,wind_onshore,PRT-16_1,electricity,gw,2.4070118323298
3,wind_onshore,PRT-17_1,electricity,gw,2.7149966320961
3,wind_onshore,PRT-18_1,electricity,gw,1.0569761638181
3,wind_onshore,PRT-19_1,electricity,gw,0.042474156058185705
3,wind_onshore,PRT-1_1,electricity,gw,0.0022750861369288345
3,wind_onshore,PRT-20_1,electricity,gw,0.09483144049496832
3,wind_onshore,PRT-3_1,electricity,gw,9.999066956605299
3,wind_onshore,PRT-4_1,electricity,gw,0.1041243686777
3,wind_onshore,PRT-5_1,electricity,gw,0.05091710045539988
3,wind_onshore,PRT-6_1,electricity,gw,0.06983053893243502
3,wind_onshore,PRT-7_1,electricity,gw,8.5029362169499
3,wind_onshore,PRT-8_1,electricity,gw,0.09097468354176154
3,wind_onshore,PRT-9_1,electricity,gw,0.011737658306149444
4,battery,PRT_1,electricity,gw,0.008915606052451171
4,battery,PRT_2,electricity,gw,0.01643405304480543
4,ccgt,PRT_1,electricity,gw,0.009330683330599474
4,ccgt,PRT_2,electricity,gw,0.009450135946517745
4,chp_biofuel_extraction,PRT_1,electricity,gw,0.010797528595439813
4,chp_biofuel_extraction,PRT_1,heat,gw,0.016540399749941686
4,chp_biofuel_extraction,PRT_2,electricity,gw,0.006298419505666053
4,chp_biofuel_extraction,PRT_2,heat,gw,0.009042999844918883
4,chp_hydrogen,PRT_1,electricity,gw,0.002316424862458302
4,chp_hydrogen,PRT_1,heat,gw,0.0040852430967299016
4,chp_hydrogen,PRT_2,electricity,gw,0.0023284791066075566
4,chp_hydrogen,PRT_2,heat,gw,0.004721172693531325
4,chp_methane_extraction,PRT_1,electricity,gw,0.00806500442492106
4,chp_methane_extraction,PRT_1,heat,gw,0.0024609618788373746
4,chp_methane_extraction,PRT_2,electricity,gw,0.006179692841293592
4,chp_methane_extraction,PRT_2,heat,gw,0.0016786022384422932
4,chp_wte_back_pressure,PRT_1,electricity,gw,0.09760699410435951
4,chp_wte_back_pressure,PRT_1,heat,gw,0.0015147785241529943
4,chp_wte_back_pressure,PRT_2,electricity,gw,0.09556951185340468
4,chp_wte_back_pressure,PRT_2,heat,gw,0.0019824966000257307
4,electrolysis,PRT_1,hydrogen,gw,0.0011227253506709107
4,electrolysis,PRT_2,hydrogen,gw,4.027419898459099
4,existing_pv,PRT-10_1,electricity,gw,0.2
4,existing_pv,PRT-12_1,electricity,gw,0.1
4,existing_pv,PRT-15_1,electricity,gw,0.2
4,existing_pv,PRT-3_1,electricity,gw,0.5
4,existing_pv,PRT-9_1,electricity,gw,0.1
4,existing_wind,PRT-10_1,electricity,gw,0.11
4,existing_wind,PRT-11_1,electricity,gw,0.43
4,existing_wind,PRT-12_1,electricity,gw,0.1
4,existing_wind,PRT-15_1,electricity,gw,0.11999999999989999
4,existing_wind,PRT-16_1,electricity,gw,0.030000000000000002
4,existing_wind,PRT-17_1,electricity,gw,0.08
4,existing_wind,PRT-18_1,electricity,gw,0.83
4,existing_wind,PRT-19_1,electricity,gw,0.7699999999999999
4,existing_wind,PRT-1_1,electricity,gw,0.060000000000000005
4,existing_wind,PRT-20_1,electricity,gw,0.82
4,existing_wind,PRT-3_1,electricity,gw,0.13999999999999999
4,existing_wind,PRT-4_1,electricity,gw,0.35
4,existing_wind,PRT-5_1,electricity,gw,0.1799999999999
4,existing_wind,PRT-6_1,electricity,gw,0.67
4,existing_wind,PRT-7_1,electricity,gw,0.4799999999999
4,existing_wind,PRT-9_1,electricity,gw,0.23
4,hydro_reservoir,PRT_1,electricity,gw,1.1303999999999998
4,hydro_reservoir,PRT_2,electricity,gw,0.205
4,hydro_run_of_river,PRT_1,electricity,gw,1.4028
4,hydro_run_of_river,PRT_2,electricity,gw,0.2127
4,open_field_pv,PRT-10_1,electricity,gw,0.03617190686995051
