spores,techs,locs,carriers,unit,generated_road_transport
33,light_transport_ev,PRT_1,transport,billion_km,37.59576335981496
33,light_transport_ev,PRT_2,transport,billion_km,39.89541313967676
33,light_transport_ice,PRT_1,transport,billion_km,0.0930897045499692
33,light_transport_ice,PRT_2,transport,billion_km,0.028716014663681
34,heavy_transport_ev,PRT_1,transport,billion_km,1.0738612533906533
34,heavy_transport_ev,PRT_2,transport,billion_km,1.2533084899317353
34,heavy_transport_ice,PRT_1,transport,billion_km,0.0100024943191455
34,heavy_transport_ice,PRT_2,transport,billion_km,0.004048939947962
34,light_transport_ev,PRT_1,transport,billion_km,37.6261826136121
34,light_transport_ev,PRT_2,transport,billion_km,39.89602613722466
34,light_transport_ice,PRT_1,transport,billion_km,0.0626680831466879
34,light_transport_ice,PRT_2,transport,billion_km,0.0281006495229221
35,heavy_transport_ev,PRT_1,transport,billion_km,1.0767284991150456
35,heavy_transport_ev,PRT_2,transport,billion_km,1.2546145370726078
35,heavy_transport_ice,PRT_1,transport,billion_km,0.0071344163782248
35,heavy_transport_ice,PRT_2,transport,billion_km,0.0027420605902028
35,light_transport_ev,PRT_1,transport,billion_km,37.64351680526239
35,light_transport_ev,PRT_2,transport,billion_km,39.90491612167767
35,light_transport_ice,PRT_1,transport,billion_km,0.0453305627493878
35,light_transport_ice,PRT_2,transport,billion_km,0.0192073367753503
36,heavy_transport_ev,PRT_1,transport,billion_km,1.074055420337344
36,heavy_transport_ev,PRT_2,transport,billion_km,1.253293092648509
36,heavy_transport_ice,PRT_1,transport,billion_km,0.0098085697643407
36,heavy_transport_ice,PRT_2,transport,billion_km,0.0040645796215888
36,light_transport_ev,PRT_1,transport,billion_km,37.62506579158804
36,light_transport_ev,PRT_2,transport,billion_km,39.89555235214428
36,light_transport_ice,PRT_1,transport,billion_km,0.0637858747717962
36,light_transport_ice,PRT_2,transport,billion_km,0.0285754040191597
37,heavy_transport_ev,PRT_1,transport,billion_km,1.075470611627028
37,heavy_transport_ev,PRT_2,transport,billion_km,1.254244272860665
37,heavy_transport_ice,PRT_1,transport,billion_km,0.0083919397442843
37,heavy_transport_ice,PRT_2,transport,billion_km,0.0031119606805039
37,light_transport_ev,PRT_1,transport,billion_km,37.63517090456321
37,light_transport_ev,PRT_2,transport,billion_km,39.90212468157012
37,light_transport_ice,PRT_1,transport,billion_km,0.0536750070151233
37,light_transport_ice,PRT_2,transport,billion_km,0.0219973197524919
38,heavy_transport_ev,PRT_1,transport,billion_km,1.0704465339117986
38,heavy_transport_ev,PRT_2,transport,billion_km,1.2559217777639482
38,heavy_transport_ice,PRT_1,transport,billion_km,0.0134156837290547
38,heavy_transport_ice,PRT_2,transport,billion_km,0.0014341220465748
38,light_transport_ev,PRT_1,transport,billion_km,37.64879201847481
38,light_transport_ev,PRT_2,transport,billion_km,39.91721938923199
38,light_transport_ice,PRT_1,transport,billion_km,0.0400525579890366
38,light_transport_ice,PRT_2,transport,billion_km,0.0069012771983975
39,heavy_transport_ev,PRT_1,transport,billion_km,1.0694135022453457
39,heavy_transport_ev,PRT_2,transport,billion_km,1.2538193146861407
39,heavy_transport_ice,PRT_1,transport,billion_km,0.0144562328776018
39,heavy_transport_ice,PRT_2,transport,billion_km,0.003544102605834
39,light_transport_ev,PRT_1,transport,billion_km,37.6014663274694
39,light_transport_ev,PRT_2,transport,billion_km,39.89883562292603
39,light_transport_ice,PRT_1,transport,billion_km,0.0874083189982944
39,light_transport_ice,PRT_2,transport,billion_km,0.0253151133950129
40,heavy_transport_ev,PRT_1,transport,billion_km,1.0677845447481178
40,heavy_transport_ev,PRT_2,transport,billion_km,1.2485983472891724
40,heavy_transport_ice,PRT_1,transport,billion_km,0.0160814526864579
40,heavy_transport_ice,PRT_2,transport,billion_km,0.0087613323135925
40,light_transport_ev,PRT_1,transport,billion_km,37.583171286994585
40,light_transport_ev,PRT_2,transport,billion_km,39.86350627910687
40,light_transport_ice,PRT_1,transport,billion_km,0.1056884088891386
40,light_transport_ice,PRT_2,transport,billion_km,0.0606295066191636
41,heavy_transport_ev,PRT_1,transport,billion_km,1.0719144300007888
41,heavy_transport_ev,PRT_2,transport,billion_km,1.2523775608976964
41,heavy_transport_ice,PRT_1,transport,billion_km,0.0119491946673609
41,heavy_transport_ice,PRT_2,transport,billion_km,0.004979745938659
41,light_transport_ev,PRT_1,transport,billion_km,37.611093242938026
41,light_transport_ev,PRT_2,transport,billion_km,39.88916657796255
41,light_transport_ice,PRT_1,transport,billion_km,0.0777569620892107
41,light_transport_ice,PRT_2,transport,billion_km,0.0349597165677699
42,heavy_transport_ev,PRT_1,transport,billion_km,1.0713537941919375
42,heavy_transport_ev,PRT_2,transport,billion_km,1.2495902761007722
42,heavy_transport_ice,PRT_1,transport,billion_km,0.0125103980968443
42,heavy_transport_ice,PRT_2,transport,billion_km,0.0077675983564216
42,light_transport_ev,PRT_1,transport,billion_km,37.60348330906008
42,light_transport_ev,PRT_2,transport,billion_km,39.87005734041876
42,light_transport_ice,PRT_1,transport,billion_km,0.0853691666516223
42,light_transport_ice,PRT_2,transport,billion_km,0.0540712248453525
43,heavy_transport_ev,PRT_1,transport,billion_km,1.0694559520528646
43,heavy_transport_ev,PRT_2,transport,billion_km,1.2483725194323347
43,heavy_transport_ice,PRT_1,transport,billion_km,0.0144073525129903
43,heavy_transport_ice,PRT_2,transport,billion_km,0.0089844673029262
43,light_transport_ev,PRT_1,transport,billion_km,37.59341610298286
43,light_transport_ev,PRT_2,transport,billion_km,39.86241240437453
43,light_transport_ice,PRT_1,transport,billion_km,0.0954328212973238
43,light_transport_ice,PRT_2,transport,billion_km,0.0617126094911225
44,heavy_transport_ev,PRT_1,transport,billion_km,1.0710932943756413
44,heavy_transport_ev,PRT_2,transport,billion_km,1.2495505107266656
44,heavy_transport_ice,PRT_1,transport,billion_km,0.0127822439846973
44,heavy_transport_ice,PRT_2,transport,billion_km,0.0078187098011287
44,light_transport_ev,PRT_1,transport,billion_km,37.60270814231503
44,light_transport_ev,PRT_2,transport,billion_km,39.870064863789054
44,light_transport_ice,PRT_1,transport,billion_km,0.086189717557723
44,light_transport_ice,PRT_2,transport,billion_km,0.0541090852710899
45,heavy_transport_ev,PRT_1,transport,billion_km,1.0727559387017234
45,heavy_transport_ev,PRT_2,transport,billion_km,1.2502813478295909
45,heavy_transport_ice,PRT_1,transport,billion_km,0.0111069237631305
45,heavy_transport_ice,PRT_2,transport,billion_km,0.0070751968038549
45,light_transport_ev,PRT_1,transport,billion_km,37.61255433357197
45,light_transport_ev,PRT_2,transport,billion_km,39.8746480239524
45,light_transport_ice,PRT_1,transport,billion_km,0.0762928225845375
45,light_transport_ice,PRT_2,transport,billion_km,0.0494752219423764
46,heavy_transport_ev,PRT_1,transport,billion_km,1.072954846651247
46,heavy_transport_ev,PRT_2,transport,billion_km,1.2505585936379024
46,heavy_transport_ice,PRT_1,transport,billion_km,0.0109083540804083
46,heavy_transport_ice,PRT_2,transport,billion_km,0.0067982892627621
46,light_transport_ev,PRT_1,transport,billion_km,37.61459947041335
46,light_transport_ev,PRT_2,transport,billion_km,39.87693886091085
46,light_transport_ice,PRT_1,transport,billion_km,0.0742490387087174
46,light_transport_ice,PRT_2,transport,billion_km,0.0471857378876737
47,heavy_transport_ev,PRT_1,transport,billion_km,1.0733556879009627
47,heavy_transport_ev,PRT_2,transport,billion_km,1.250763430078993
47,heavy_transport_ice,PRT_1,transport,billion_km,0.0105086690315569
47,heavy_transport_ice,PRT_2,transport,billion_km,0.0065946090203187
47,light_transport_ev,PRT_1,transport,billion_km,37.617800270513214
47,light_transport_ev,PRT_2,transport,billion_km,39.87895511670924
47,light_transport_ice,PRT_1,transport,billion_km,0.0710528637454499
47,light_transport_ice,PRT_2,transport,billion_km,0.0451741070988401
48,heavy_transport_ev,PRT_1,transport,billion_km,1.066893659748265
48,heavy_transport_ev,PRT_2,transport,billion_km,1.2474332095070533
48,heavy_transport_ice,PRT_1,transport,billion_km,0.0170111194427918
48,heavy_transport_ice,PRT_2,transport,billion_km,0.0099652518500419
48,light_transport_ev,PRT_1,transport,billion_km,37.57759959607882
48,light_transport_ev,PRT_2,transport,billion_km,39.8562602922499
