spores,locs,carriers,unit,electrification_rate_road_transport
111,PRT_2,transport,fraction,0.9999933683812825
112,PRT_1,transport,fraction,0.9999627521668173
112,PRT_2,transport,fraction,0.999935446173881
113,PRT_1,transport,fraction,0.9999826280591827
113,PRT_2,transport,fraction,0.9999730194607697
114,PRT_1,transport,fraction,0.9999762543746133
114,PRT_2,transport,fraction,0.9999484151495168
115,PRT_1,transport,fraction,0.9999972926524073
115,PRT_2,transport,fraction,0.9999948499695772
116,PRT_1,transport,fraction,0.9999969649975247
116,PRT_2,transport,fraction,0.9999944778681611
117,PRT_1,transport,fraction,0.9999970891876017
117,PRT_2,transport,fraction,0.9999939253262045
118,PRT_1,transport,fraction,0.999996437689387
118,PRT_2,transport,fraction,0.9999949388412059
119,PRT_1,transport,fraction,0.9999658964465479
119,PRT_2,transport,fraction,0.9999409810001311
120,PRT_1,transport,fraction,0.9999923674343663
120,PRT_2,transport,fraction,0.9999894283570131
121,PRT_1,transport,fraction,0.9999369461808717
121,PRT_2,transport,fraction,0.9999336078623858
122,PRT_1,transport,fraction,0.9999634054407629
122,PRT_2,transport,fraction,0.9999337539313341
123,PRT_1,transport,fraction,0.9999959858717926
123,PRT_2,transport,fraction,0.9999932243156241
124,PRT_1,transport,fraction,0.9999738757018274
124,PRT_2,transport,fraction,0.999954724350739
125,PRT_1,transport,fraction,0.9999516506928905
125,PRT_2,transport,fraction,0.9999513198327225
126,PRT_1,transport,fraction,0.9999961983688189
126,PRT_2,transport,fraction,0.9999958717111769
127,PRT_1,transport,fraction,0.999985144753482
127,PRT_2,transport,fraction,0.9999830175371904
128,PRT_1,transport,fraction,0.9999959643272589
128,PRT_2,transport,fraction,0.9999963495889511
129,PRT_1,transport,fraction,0.9999963558168131
129,PRT_2,transport,fraction,0.9999968017287276
130,PRT_1,transport,fraction,0.9999745923086001
130,PRT_2,transport,fraction,0.9999777563845612
131,PRT_1,transport,fraction,0.9999970951664621
131,PRT_2,transport,fraction,0.9999949727607457
132,PRT_1,transport,fraction,0.9999737043690864
132,PRT_2,transport,fraction,0.9999520578796244
133,PRT_1,transport,fraction,0.9999722536666571
133,PRT_2,transport,fraction,0.999948990876656
134,PRT_1,transport,fraction,0.9999670316916188
134,PRT_2,transport,fraction,0.9999450546840116
135,PRT_1,transport,fraction,0.9999963573882613
135,PRT_2,transport,fraction,0.9999945148597412
136,PRT_1,transport,fraction,0.9999851303513313
136,PRT_2,transport,fraction,0.9999752125503195
137,PRT_1,transport,fraction,0.9999694336756282
137,PRT_2,transport,fraction,0.9999538140134805
138,PRT_1,transport,fraction,0.9999960162818416
138,PRT_2,transport,fraction,0.9999959168313304
139,PRT_1,transport,fraction,0.9999968014942666
139,PRT_2,transport,fraction,0.9999949544037797
140,PRT_1,transport,fraction,0.9999971564888486
140,PRT_2,transport,fraction,0.9999955293981757
141,PRT_1,transport,fraction,0.9971130501866423
141,PRT_2,transport,fraction,0.9983534552376107
142,PRT_1,transport,fraction,0.999976029529983
142,PRT_2,transport,fraction,0.9999580637017066
143,PRT_1,transport,fraction,0.999974932569527
143,PRT_2,transport,fraction,0.999958149843049
144,PRT_1,transport,fraction,0.9999800487106373
144,PRT_2,transport,fraction,0.9999699013892094
145,PRT_1,transport,fraction,0.9999650041932113
145,PRT_2,transport,fraction,0.9999443417140608
146,PRT_1,transport,fraction,0.9999970940857742
146,PRT_2,transport,fraction,0.9999949477729305
147,PRT_1,transport,fraction,0.9999960699066028
147,PRT_2,transport,fraction,0.999994142318405
148,PRT_1,transport,fraction,0.9999954197562876
148,PRT_2,transport,fraction,0.999994289485736
149,PRT_1,transport,fraction,0.9999963955358007
149,PRT_2,transport,fraction,0.999995017983234
150,PRT_1,transport,fraction,0.9999968231024503
150,PRT_2,transport,fraction,0.9999946180501779
151,PRT_1,transport,fraction,0.9999995560376217
151,PRT_2,transport,fraction,0.9999994985821932
152,PRT_1,transport,fraction,0.999999748003221
152,PRT_2,transport,fraction,0.9999997452615562
153,PRT_1,transport,fraction,0.9999993968870499
153,PRT_2,transport,fraction,0.9999994633559275
154,PRT_1,transport,fraction,0.9999995010594144
154,PRT_2,transport,fraction,0.9999995186061681
155,PRT_1,transport,fraction,0.9999997577503844
155,PRT_2,transport,fraction,0.9999997108697911
156,PRT_1,transport,fraction,0.999999857868577
156,PRT_2,transport,fraction,0.9999998477501961
157,PRT_1,transport,fraction,0.9999994692969342
157,PRT_2,transport,fraction,0.9999993976025318
158,PRT_1,transport,fraction,0.9999996482252645
158,PRT_2,transport,fraction,0.9999996286475831
159,PRT_1,transport,fraction,0.9999998277593506
159,PRT_2,transport,fraction,0.9999998333607584
160,PRT_1,transport,fraction,0.9999992965766413
160,PRT_2,transport,fraction,0.9999992702435928
161,PRT_1,transport,fraction,0.9999988379368968
161,PRT_2,transport,fraction,0.999999217325958
